N_Ahalf,N_Bhalf,N_Chalf,N_A%,N_B%,N_C%,AnN_A%,AnN_B%,AnN_C%,tfinal,iterlength,elementtotal,timestep
2.53,11.05,stable,100.0,0.0,0.0,100.0,0.0,0.0,60.0,0.1,3,0.1
2.53,11.05,stable,97.29747753359035,2.702522466409647,0.0,97.29747753359035,2.694025354204804,0.008497112204847257,60.0,0.1,3,0.2
2.53,11.05,stable,94.6679913439952,5.31510926395215,0.016899392052652118,94.6679913439952,5.298397809983441,0.03361084602136434,60.0,0.1,3,0.30000000000000004
2.53,11.05,stable,92.10956760942499,7.840296599428319,0.05013579114669575,92.10956760942499,7.815645599944445,0.0747867906305632,60.0,0.1,3,0.4
2.53,11.05,stable,89.6202858510675,10.280551477273384,0.09916267165912274,89.6202858510675,10.248227971912803,0.13148617701970416,60.0,0.1,3,0.5
2.53,11.05,stable,87.19827749148185,12.638273573898662,0.16344893461949184,87.19827749148185,12.598537057378374,0.20318545113977868,60.0,0.1,3,0.6
2.53,11.05,stable,84.84172445195232,14.91579706135282,0.24247848669486416,84.84172445195233,14.868899689423326,0.2893758586243462,60.0,0.1,3,0.7
2.53,11.05,stable,82.54885778774893,17.115392381672628,0.335749830578445,82.54885778774896,17.0615791714941,0.3895630407569467,60.0,0.1,3,0.7999999999999999
2.53,11.05,stable,80.31795636027046,19.23926797325597,0.44277566647357425,80.31795636027049,19.178776998346475,0.5032666413830326,60.0,0.1,3,0.8999999999999999
2.53,11.05,stable,78.14734554507305,21.28957195055388,0.5630825043730692,78.1473455450731,21.222634530456354,0.6300199244705579,60.0,0.1,3,0.9999999999999999
2.53,11.05,stable,76.03539597481468,23.268393738343335,0.6962102868419908,76.03539597481472,23.1952346231542,0.7693694020310896,60.0,0.1,3,1.0999999999999999
2.53,11.05,stable,73.98052231617177,25.177765661808383,0.8417120220198466,73.9805223161718,25.098603211706735,0.9208744721214598,60.0,0.1,3,1.2
2.53,11.05,stable,71.98118207981003,27.019664493624113,0.9991534265658633,71.98118207981005,26.934710853536657,1.0841070666532857,60.0,0.1,3,1.3
2.53,11.05,stable,70.03587446251592,28.796012959205594,1.1681125782784871,70.03587446251596,28.705474228738836,1.2586513087452054,60.0,0.1,3,1.4000000000000001
2.53,11.05,stable,68.14313922061997,30.508681201252557,1.348179578127473,68.14313922062,30.412757600020363,1.4441031793596395,60.0,0.1,3,1.5000000000000002
2.53,11.05,stable,66.30155557386591,32.159488204690014,1.5389562214440762,66.30155557386594,32.05837423316076,1.6400701929732888,60.0,0.1,3,1.6000000000000003
2.53,11.05,stable,64.50974113890311,33.75020318307523,1.7400556780216636,64.50974113890314,33.644087779060136,1.8461710820367319,60.0,0.1,3,1.7000000000000004
2.53,11.05,stable,62.76635089160154,35.28254692751268,1.951102180885778,62.766350891601576,35.171613618412714,2.0620354899857083,60.0,0.1,3,1.8000000000000005
2.53,11.05,stable,61.0700761574105,36.75819311909025,2.1717307234992536,61.070076157410526,36.64262017001677,2.287303672572704,60.0,0.1,3,1.9000000000000006
2.53,11.05,stable,59.419643629003,38.17876960582278,2.4015867651742244,59.419643629003026,38.05873016370313,2.5216262072938407,60.0,0.1,3,2.0000000000000004
2.53,11.05,stable,57.81381441046864,39.54585964506224,2.6403259444691276,57.81381441046868,39.42152187883911,2.7646637106922154,60.0,0.1,3,2.1000000000000005
2.53,11.05,stable,56.251383087337345,40.86100311230795,2.8876138003547087,56.25138308733738,40.73253034933806,3.0160865633245595,60.0,0.1,3,2.2000000000000006
2.53,11.05,stable,54.73117682173589,42.12569767732513,3.1431255009389805,54.73117682173593,41.993248536079996,3.2755746421840755,60.0,0.1,3,2.3000000000000007
2.53,11.05,stable,53.252054471998086,43.34139994845527,3.4065455795466466,53.25205447199812,43.205128467624114,3.5428170603777627,60.0,0.1,3,2.400000000000001
2.53,11.05,stable,51.812905736067634,44.50952658597823,3.677567677954139,51.81290573606767,44.36958235007033,3.8175119138619924,60.0,0.1,3,2.500000000000001
2.53,11.05,stable,50.41265031805075,45.63145538536253,3.955894296586722,50.41265031805079,45.48798364690371,4.099366035045508,60.0,0.1,3,2.600000000000001
2.53,11.05,stable,49.050237117292895,46.708526331217755,4.241236551489353,49.05023711729293,46.561668129633,4.388094753074069,60.0,0.1,3,2.700000000000001
2.53,11.05,stable,47.72464343937085,47.74204262274103,4.533313937888119,47.72464343937089,47.59193490001305,4.683421660616059,60.0,0.1,3,2.800000000000001
2.53,11.05,stable,46.434874228407956,48.73327167142806,4.831854100163989,46.43487422840799,48.5800473846189,4.985078386973108,60.0,0.1,3,2.9000000000000012
2.53,11.05,stable,45.179961320136165,49.68344607179838,5.136592608065458,45.1799613201362,49.52723430251888,5.2928043773449165,60.0,0.1,3,3.0000000000000013
2.53,11.05,stable,43.958962715144295,50.59376454586443,5.447272738991275,43.95896271514433,50.43469060677417,5.606346678081499,60.0,0.1,3,3.1000000000000014
2.53,11.05,stable,42.77096187176688,51.46539286205393,5.763645266179191,42.770961871766914,51.30357840047194,5.92545972776114,60.0,0.1,3,3.2000000000000015
